--- Vocabulary Part 6 ---

R:

racial (रेशियल): नस्लीय (nasliya) | नस्ली (nasli)
reasonably (रीज़नेबली): उचित रूप से (uchit roop se) | मुनासिब तौर पर (munasib taur par)
reasoning (रीज़निंग): तर्क (tark) | वज़ाहत (wazahat) / इस्तेदलाल (istedlaal)
reassure (रीअश्योर): आश्वस्त करना (aashvast karna) | तसल्ली देना (tasalli dena)
rebel (रिबेल): विद्रोही (vidrohee) | बाग़ी (baaghi)
rebellion (रिबेलियन): विद्रोह (vidroh) | बग़ावत (baghaavat)
rebuild (रीबिल्ड): पुनर्निर्माण करना (punarnirmaan karna) | दोबारा तामीर करना (dobara taameer karna)
receiver (रिसीवर): प्राप्तकर्ता (praaptakarta) | वसूल करने वाला (vasool karne wala)
recession (रिसेशन): मंदी (mandee) | मंदी (mandee) / कसाद-बाज़ारी (kasaad-bazaari)
recipient (रिसिपिएंट): प्राप्तकर्ता (praaptakarta) | हासिल करने वाला (haasil karne wala)
reckon (रेकन): अनुमान लगाना (anumaan lagaana) | शुमार करना (shumaar karna) / अंदाज़ा लगाना
recognition (रिकॉग्निशन): मान्यता (maanyata) / पहचान (pehchaan) | पहचान (pehchaan) / तसलीम (tasleem)
reconstruction (रीकंस्ट्रक्शन): पुनर्निर्माण (punarnirmaan) | दोबारा तामीर (dobara taameer)
recount (रीकाउंट): दोबारा गिनना (dobara ginna) | दोबारा शुमार करना (dobara shumaar karna)
recovery (रिकवरी): सुधार (sudhaar) / वसूली (vasoolee) | शिफ़ा (shifa) / वसूली (vasooli)
recruit (रिक्रूट): भर्ती करना (bhartee karna) | भरती करना (bhartee karna)
recruitment (रिक्रूटमेंट): भर्ती (bhartee) | भरती (bhartee)
referee (रेफरी): निर्णायक (nirnayak) | मुंसिफ़ (munsif) / रेफ़री (referee)
referendum (रेफ़रेंडम): जनमत संग्रह (janamat sangrah) | इस्तेसवाब-ए-राय (isteswab-e-rai)
reflection (रिफ्लेक्शन): प्रतिबिंब (pratibimb) | अक्स (aks)
reform (रिफॉर्म): सुधार (sudhaar) | इस्लाह (islaah)
refuge (रिफ्यूज): शरण (sharan) | पनाह (panaah)
refugee (रिफ्यूजी): शरणार्थी (sharanaarthee) | पनाहगीर (panaahgeer) / मुहाजिर (muhaajir)
refusal (रिफ्यूजल): इनकार (inkaar) | इन्कार (inkaar)
regain (रीगेन): पुनः प्राप्त करना (punah praapt karna) | दोबारा हासिल करना (dobara haasil karna)
regardless (रिगार्डलेस): परवाह किए बिना (parvaah kie bina) | क़ते-नज़र (qate-nazar)
regime (रेजीम): शासन (shaasan) | हुकूमत (hukoomat) / दौर (daur)
registration (रजिस्ट्रेशन): पंजीकरण (panjeekaran) | इंद्राज (indraaj) / रजिस्ट्री (registry)
regulate (रेगुलेट): नियंत्रित करना (niyantrit karna) | बाक़ायदा करना (baqaayda karna) / नाज़िम करना
regulator (रेगुलेटर): नियामक (niyaamak) | नाज़िम (naazim)
regulatory (रेगुलेटरी): नियामक (niyaamak) | तंज़ीमी (tanzeemi)
rehabilitation (रिहैबिलिटेशन): पुनर्वास (punarvaas) | बहाली (bahaali)
reign (रेन): शासनकाल (shaasanakaal) | दौर-ए-हुकूमत (daur-e-hukoomat)
reinforce (रीइन्फोर्स): सुदृढ़ करना (sudridh karna) | मज़बूत करना (mazboot karna)
rejection (रिजेक्शन): अस्वीकृति (asveekriti) | नामंज़ूरी (namanzoori) / रद् (radd)
relevance (रेलेवेंस): प्रासंगिकता (praasangikata) | मुताल्लक़ा होना (mutaallaga hona) / मुनासिबत
reliability (रिलायबिलिटी): विश्वसनीयता (vishvasaneeyata) | क़ाबलियत-ए-एतबार (qabiliyat-e-etabaar)
relieve (रिलीव): राहत देना (raahat dena) | आराम देना (aaraam dena) / सुबुकदोष करना
relieved (रिलीव्ड): राहत महसूस करना (raahat mehsoos karna) | पुर-सुकून (pur-sukoon)
reluctant (रिलक्टेंट): अनिच्छुक (anichhhuk) | ना-रज़ा मंद (na-raza mand)
remainder (रिमाइंडर): शेष (shesh) | बाक़ी (baaqi)
remains (रिमेंस): अवशेष (avashesh) | बाक़ियात (baqiyaat)
remarkable (रिमार्केबल): असाधारण (asaadhaaran) | ग़ैर-मामूली (ghair-maamooli)
remarkably (रिमार्केबली): विशेष रूप से (vishesh roop se) | ग़ैर-मामूली तौर पर (ghair-maamooli taur par)
remedy (रेमेडी): उपाय (upaay) / इलाज (ilaaj) | इलाज (ilaaj) / तदारुक (tadaaruk)
reminder (रिमाइंडर): अनुस्मारक (anusmaarak) | याददेहानी (yaaddehaani)
removal (रिमूवल): निष्कासन (nishkaasan) | बेदख़ली (bedakhali) / हटाना (hataana)
render (रेंडर): प्रस्तुत करना (prastut karna) | अता करना (ata karna) / बना देना (bana dena)
renew (रिन्यू): नवीनीकरण करना (naveenikaran karna) | तजदीद करना (tajdeed karna)
renowned (रिनाउंड): प्रसिद्ध (prasiddh) | मारूफ़ (maroof) / मशहूर (mashhoor)
rental (रेंटल): किराया (kiraaya) | किराया (kiraaya)
replacement (रिप्लेसमेंट): प्रतिस्थापन (pratisthaapan) | बदल (badal) / तबादला (tabaadla)
reportedly (रिपोर्टेडली): खबरों के अनुसार (khabaron ke anusaar) | इत्तिलाआत के मुताबिक़ (ittila'at ke mutabiq)
reporting (रिपोर्टिंग): रिपोर्टिंग (reporting) | रिपोर्टिंग (reporting) / बयानिया (bayaniya)
representation (रिप्रेजेंटेशन): प्रतिनिधित्व (pratinidhitva) | नुमाइंदगी (numaindangi)
reproduce (रीप्रोड्यूस): पुनरुत्पादन करना (punarutpaadan karna) | दोबारा पैदा करना (dobara paada karna)
reproduction (रीप्रोडक्शन): प्रजनन (prajanan) |तौहीद-ए-नस्ल (tauheed-e-nasl) / नक़ल (naqal)
republic (रिपब्लिक): गणराज्य (ganaraajya) | जम्हूरिया (jamhooriya)
resemble (रिज़ेम्बल): के समान होना (ke samaan hona) | मुशाबहत रखना (mushabahat rakhna)
reside (रिसाइड): निवास करना (nivaas karna) | क़ियाम करना (qiyaam karna) / रहना (rehna)
residence (रेसिडेंस): निवास स्थान (nivaas sthaan) | रिहाइश (rihaish) / मस्कन (maskan)
residential (रेसिडेंशियल): आवासीय (aavaaseeya) | रिहाइशी (rihaishi)
residue (रेसिड्यू): अवशेष (avashesh) | बाक़ी (baaqi) / फ़ुज़ला (fuzla)
resign (रिज़ाइन): इस्तीफा देना (isteepfa dena) | इस्तीफ़ा देना (isteefa dena)
resignation (रेजिग्नेशन): इस्तीफा (isteepfa) | इस्तीफ़ा (isteefa)
resistance (रेसिस्टेंस): प्रतिरोध (pratirodh) | मुक़ाबला (muqaabla) / मुज़ाहमत (muzahmat)
resolution (रेज़ोल्यूशन): संकल्प (sankalp) / प्रस्ताव (prastaav) | अज़्म (azm) / क़रारदाद (qarardaad)
respective (रिस्पेक्टिव): संबंधित (sambandhit) | अपना-अपना (apna-apna) / मुताल्लक़ा (mutaalliga)
respectively (रिस्पेक्टिवली): क्रमशः (kramashah) | बिल-तर्तीब (bil-tarteeb)
restoration (रेस्टोरेशन): बहाली (bahaalee) | बहाली (bahaali) / मरम्मत (marammat)
restore (रिस्टोर): बहाल करना (bahaal karna) | बहाल करना (bahaal karna)
restraint (रिस्ट्रेंट): संयम (sanyam) | ज़ब्त (zabt) / पाबंदी (pabandi)
restrict (रिस्ट्रिक्ट): सीमित करना (seemit karna) | महदूद करना (mahdood karna)
restriction (रिस्ट्रिक्शन): प्रतिबंध (pratibandh) | पाबंदी (pabandi) / हदबंदी (hadbandi)
resume (रिज़्यूम): फिर से शुरू करना (phir se shuru karna) | दोबारा आग़ाज़ करना (dobara aaghaaz karna)
retail (रिटेल): खुदरा (khudara) | पर्चून (parchoon)
retirement (रिटायरमेंट): सेवानिवृत्ति (sevanivritti) | सुबुकदोशी (subukdoshi) / रिटायरमेंट
retreat (रीट्रीट): पीछे हटना (peeche hatna) | पीछे हटना (peeche hatna) / पसेपाई (pasepai)
retrieve (रिट्रीव): पुनः प्राप्त करना (punah praapt karna) | दोबारा हासिल करना (dobara haasil karna)
revelation (रेवेलेशन): रहस्योद्घाटन (rahasyodghaatan) | इंक़िशाफ़ (inkishaf) / वही (wahi)
revenge (रिवेंज): बदला (badala) | इंतिक़ाम (intiqam) / बदला (badla)
revenue (रेवेन्यू): राजस्व (raajasva) | महसूल (mahsool) / आमदनी (aamdani)
reverse (रिवर्स): उलटा (ulata) | बरअक्स (bar'aks) / उलटा (ulta)
revision (रिवीजन): संशोधन (sanshodhan) | नज़र-ए-सानी (nazar-e-saani)
revival (रिवाइवल): पुनरुद्धार (punaruddhaar) | इह्या (ihya) / दोबारा ज़िंदा होना
revive (रिवाइव): पुनर्जीवित करना (punarjeevit karna) | ताज़ा करना (taaza karna) / दोबारा ज़िंदा करना
revolutionary (रिवोल्यूशनरी): क्रांतिकारी (kraantikaari) | इंक़िलाबी (inqilaabi)
rhetoric (रेटोरिक): वाकपटुता (vaakpatuta) | लफ़्फ़ाज़ी (laffaazi) / ख़िताबत (khitaabat)
ridiculous (रिडिकुलस): हास्यास्पद (haasyaaspad) | मज़ाक़िया (mazaqiya) / बेहूदा (behooda)
rifle (राइफल): बंदूक (bandook) | राइफ़ल (rifle) / बंदूक (bandook)
riot (रायट): दंगा (danga) | बलवा (balwa) / दंगा (danga)
rip (रिप): फाड़ना (phaadna) | चाक करना (chaak karna) / फाड़ना (phaadna)
risky (रिस्की): जोखिम भरा (jokhim bhara) | ख़तरनाक (khatarnaak)
ritual (रिचुअल): रस्म (rasm) | रस्म (rasm) / रीत (reet)
rival (राइवल): प्रतिद्वंद्वी (pratidvandvee) | रक़ीब (raqeeb) / मुख़ालिफ़ (mukhalif)
rob (रॉब): लूटना (lootna) | लूटना (lootna) / डाका डालना (daaka daalna)
robbery (रॉबरी): डकैती (dakaitee) | डाका (daaka) / चोरी (chori)
robust (रोबस्ट): मजबूत (majboot) | मज़बूत (mazboot) / तवाना (tawana)
rock (रॉक): चट्टान (chattaan) | चट्टान (chattaan)
rocket (रॉकेट): रॉकेट (rocket) | रॉकेट (rocket)
rod (रॉड): छड़ी (chhadee) | सलाख़ (salaakh) / डंडा (danda)
romance (रोमांस): प्रेमकथा (premakatha) | रूमानी (roomani) / इश्क़िया (ishqiya)
rose (रोज़): गुलाब (gulaab) | गुलाब (gulaab)
rotate (रोटेट): घूमना (ghoomna) | गर्दिश करना (gardish karna) / घूमना (ghoomna)
rotation (रोटेशन): घूर्णन (ghoornan) | गर्दिश (gardish) / चक्कर (chakkar)
roughly (रफली): लगभग (labhaghabh) | तख़मीनेन (takhmeenan) / अंदाज़न् (andazan)
ruin (रुइन): बर्बाद करना (barbaad karna) | तबाह करना (tabah karna)
ruling (रूलिंग): निर्णय (nirnay) / शासक | फ़ैसला (faisla) / हुक्मराँ (hukmran)
rumour (रयूमर): अफ़वाह (afvaah) | अफ़वाह (afvaah)

S:

sack (सैक): बोरा (bora) / नौकरी से निकालना | बोरा (bora) / बरख़ास्त करना
sacred (सेक्रेड): पवित्र (pavitra) | मुक़द्दस (muqaddas) / पाक (paak)
sacrifice (सैक्रीफाइस): त्याग (tyaag) | क़ुर्बानी (qurbaani)
saint (सेंट): संत (sant) | सूफ़ी (soofi) / वली (wali)
sake (सेक): वास्ते (vaaste) | ख़ातिर (khaatir) / वास्ते (vaaste)
sanction (सेंक्शन): प्रतिबंध (pratibandh) / मंज़ूरी | पाबंदी (pabandi) / मंज़ूरी (manzoori)
satisfaction (सैटिस्फेक्शन): संतोष (santosh) | इत्मीनान (itmeenaan) / तसल्ली (tasalli)
say (से): कहना (kehna) | कहना (kehna) / कौल (qaul)
scandal (स्कैंडल): घोटाला (ghotaala) | रुसवाई (ruswaai) / स्कैंडल (scandal)
scare (स्केयर): डराना (daraana) | डराना (daraana) / ख़ौफ़ज़दा करना
scattered (स्कैटर्ड): बिखरा हुआ (bikhara hua) | मुंतशिर (muntashir) / बिखरा हुआ
scenario (सिनेरियो): परिदृश्य (paridrishya) | मंज़र-नामा (manzar-nama)
sceptical (स्केप्टिकल): उलझन में (uljhan mein) | शक्की (shakki) / वहमी (wahmi)
scholar (स्कॉलर): विद्वान (vidvaan) | आलिम (aalim) / दानिशवर (danishwar)
scholarship (स्कॉलरशिप): छात्रवृत्ति (chhaatravritti) | वज़ीफ़ा (vazeefa)
scope (स्कोप): गुंजाइश (gunjaaish) | गुंजाइश (gunjaaish) / दायरा (dayara)
scratch (स्क्रैच): खरोंच (kharonch) | खरोंच (kharonch)
screening (स्क्रीनिंग): जांच (jaanch) | जांच-पड़ताल (jaanch-padtaal) / स्क्रीनिंग
screw (स्क्रू): पेंच (pench) | पेंच (pench)
scrutiny (स्क्रूटिनी): छानबीन (chhaanabeen) | जाँच-पड़ताल (jaanch-padtaal)
seal (सील): मुहर (muhar) | मोहर (mohar)
secular (सेक्युलर): धर्मनिरपेक्ष (dharmanirapeksha) | ला-दीनी (la-deeni) / ग़ैर-मज़हबी (ghair-mazhabi)
seeker (सीकर): खोजने वाला (khojane wala) | तालिब (taalib) / जुस्तजू करने वाला
seemingly (सीमेंगली): प्रकट रूप से (prakat roop se) | बा-ज़ाहिर (ba-zaahir)
segment (सेगमेंट): खंड (khand) | टुकड़ा (tukda) / हिस्सा (hissa)
seize (सीज़): ज़ब्त करना (zabt karna) | ज़ब्त करना (zabt karna)
seldom (सेल्डम): कभी-कभार (kabhee-kabhaar) | कभी-कभार (kabhee-kabhaar) / कमतर (kamtar)
selective (सेलेक्टिव): चयनात्मक (chayanaatmak) | इंतख़ाबी (intekhaabi)
seminar (सेमिनार): संगोष्ठी (sangoshthee) | मजलिस (majlis) / सेमिनार (seminar)
senator (सीनेटर): सीनेटर (senator) | सीनेटर (senator) / मजलिस का रुकन
sensation (सेंसेशन): सनसनी (sanasanee) | सनसनी (sanasanee) / अहसास (ehsaas)
sensitivity (सेंसिटिविटी): संवेदनशीलता (sanvedanasheelta) | हस्सासियत (hassaasiyat)
sentiment (सेंटीमेंट): भावना (bhaavana) | जज़बा (jazba) / ख़याल (khayal)
separation (सेपरेशन): अलगाव (algaav) | जुदाई (judaai) / अलहदगी (alahadgi)
serial (सीरियल): धारावाहिक (dhaaraavaahik) | सिलसिलेवार (silsilewaar)
set-up (सेट-अप): व्यवस्था (vyavastha) | ढांचा (dhaancha) / निज़ाम (nizaam)
settlement (सेटलमेंट): समझौता (samjhauta) / बस्ती | समझौता (samjhauta) / बस्ती (basti)
settler (सेटलर): अप्रवासी (apravaasee) | आबादकार (aabaadkaar)
severely (सिवियरली): कड़ाई से (kadaace se) | सख़्ती से (sakhtee se) / शदीद तौर पर
sexuality (सेक्सुअलिटी): कामुकता (kaamukata) | जिंसियत (jinsiyat)
sexy (सेक्सी): आकर्षक (aakarshak) | जिंसी तौर पर आकर्षक (jinsi taur par aakarshak)
shaped (शेप्ड): आकार का (aakaar ka) | शक्ल का (shakl ka)
shareholder (शेयरहोल्डर): अंशधारक (anshadhaarak) | हिस्सा-दार (hissa-daar)
shatter (शैटर): चकनाचूर होना (chakanaachoor hona) | टुकड़े-टुकड़े होना (tukde-tukde hona)
shed (शेड): छप्पर (chhappar) / बहाना | छप्पर (chhappar) / बहाना (bahaana) (आँसू)
sheer (शीयर): कोरा (kora) / निरा | महज़ (mahaz) / मुतलक़ (mutlaq)
shipping (शिपिंग): जहाजरानी (jahaajaraanee) | जहाज़रानी (jahaazraani) / बार-बरदारी
shocking (शॉकिंग): झकझोरने वाला (jhakajhorane wala) | अफ़सोसनाक (afsosnaak) / हैरतअंगेज़
shoot (शूट): गोली मारना (golee maarna) | गोली मारना (golee maarna)
shore (शोर): किनारा (kinaara) | साहिल (sahil) / किनारा (kinara)
short-term (शॉर्ट-टर्म): अल्पकालिक (alpaakaalik) | क़लील मुद्दती (qaleel muddati)
shortage (शॉर्टेज): कमी (kamee) | क़िल्लत (qillat) / कमी (kami)
shortly (शॉर्टली): जल्द ही (jald hee) | अनक़रीब (anqareeb) / जल्द ही (jald hee)
shrink (श्रिंक): सुकड़ना (sukadana) | सिकुड़ना (sikudna)
shrug (श्रग): कंधे उचकाना (kandhe uchakaana) | कंधे उचकाना (kandhe uchakaana)
sibling (सब्लिंग): भाई-बहन (bhaace-bahan) | भाई-बहन (bhaace-bahan)
sigh (साह): आह भरना (aah bharana) | आह भरना (aah bharana)
signature (सिग्नेचर): हस्ताक्षर (hastaakshar) | दस्तख़त (dastakhat)
significance (सिग्निफिकेंस): महत्व (mahatva) | अहमियत (ahmiyat) / अफ़ादियत (afaadiyat)
simulate (सिमुलेट): अनुकरण करना (anukaran karna) | नक़ल उतारना (naqal utaarna) / ढोंग करना
simulation (सिमुलेशन): अनुकरण (anukaran) | बनावट (banawat) / नक़ली माहौल
simultaneously (साइमल्टेनियसली): एक साथ (ek saath) | एक ही वक़्त में (ek hee vaqt mein) / ब-एक वक़्त
sin (सिन): पाप (paap) | गुनाह (gunaah)
situated (सिचुएटेड): स्थित (sthit) | वाक़े (waqe)
sketch (स्केच): रेखाचित्र (rekhachitrh) | ख़ाका (khaaka)
skilled (स्किल्ड): कुशल (kushal) | माहीर (maahir) / हुनरमंद (hunarmand)
skip (स्किप): छोड़ देना (chhod dena) | छोड़ देना (chhod dena) / छोड़ कर आगे बढ़ना
skull (स्कल): खोपड़ी (khopadee) | खोपड़ी (khopadee) / कासा-ए-सर (kasa-e-sar)
slam (स्लैम): ज़ोर से बंद करना (zor se band karna) | ज़ोर से बंद करना (zor se band karna)
slap (स्लैप): थप्पड़ (thappad) | थप्पड़ (thappad) / तमाचा (tamacha)
slash (स्लैश): कटौती करना (katotee karna) | चीरा लगाना (cheera lagaana) / कटौती करना
slavery (स्लेवरी): गुलामी (gulaamee) | ग़ुलामी (gulaamee)
slogan (स्लोगन): नारा (naara) | नारा (naara)
slot (स्लॉट): छेद (chhed) / समय (samay) | सुराख़ (suraakh) / स्लॉट (slot)
smash (स्मैश): तोड़-फोड़ करना (tod-phod karna) | चकनाचूर करना (chakanaachoor karna)
snap (स्नैप): तड़कना (tadakana) / तस्वीर | चटकना (chatakna) / फ़ोटो (photo)
so-called (सो-कॉल्ड): तथाकथित (tathaakathit) | नाम-निहाद (naam-nihaad)
soak (सोक): भिगोना (bhigona) | भिगोना (bhigona) / जज़्ब करना (jazb karna)
soar (सोर): ऊंची उड़ान भरना (oonchee udaan bharana) | बुलंद होना (buland hona)
socialist (सोशलिस्ट): समाजवादी (samaajavaadee) | इशतिराक़ी (ishtiraaki)
sole (सोल): एकमात्र (ekamaatr) | वाहिद (waahid) / इकलौता (iklauta)
solely (सोलली): केवल (keval) | महज़ (mahaz) / सिर्फ़ (sirf)
solicitor (सोलिसिटर): वकील (vakeel) | वकील (vakeel) / क़ानूनी सलाहकार
solidarity (सॉलिडैरिटी): एकजुटता (ekajutata) | यकजेहती (yakjehti) / इत्तेहाद (ittehaad)
solo (सोलो): एकल (ekal) | तन्हा (tanha) / अकेला (akela)
somehow (समहाउ): जैसे-तैसे (jaise-taise) | किसी न किसी तरह (kisi na kisi tarah)
sometime (समटाइम): कभी (kabhee) | किसी वक़्त (kisi vaqt)
sophisticated (सोफिस्टिकेटेड): जटिल (jatil) / उन्नत | जदीद (jadeed) / पेचीदा (peechida)
sound (साउंड): ध्वनि (dhvani) / सही | आवाज़ (aavaaz) / दुरुस्त (durust)
sovereignty (सोवरेनिटी): संप्रभुता (samprabhuta) | संप्रभुता (samprabhuta) / हाकिमीयत (haakimiyat)
spam (स्पैम): अवांछित ईमेल (avaanchhit email) | फ़ुज़ूल संदेश (fuzool sandesh)
span (स्पैन): अवधि (avadhi) | मुद्दत (muddat) / विस्तार (vistaar)
spare (स्पेयर): अतिरिक्त (atirekt) | फ़ालतू (faaltoo) / अतिरिक्त (atirekt)
spark (स्पार्क): चिंगारी (chingaaree) | चिंगारी (chingaaree)
specialize (स्पेशलाइज): विशेषज्ञता प्राप्त करना (visheshagyata praapt karna) | महारत हासिल करना (mahaarat haasil karna)
specialized (स्पेशलाइज्ड): विशिष्ट (vishisht) | मख़सूस (makhsoos) / मुस्तनद (mustanad)
specification (स्पेसिफिकेशन): विवरण (vivaran) | तफ़सील (tafseel)
specify (स्पेसिफाई): निर्दिष्ट करना (nirdisht karna) | वाज़ेह करना (wazeh karna)
specimen (स्पेसिमेन): नमूना (namoona) | नमूना (namoona)
spectacle (स्पेक्टेकल): तमाशा (tamaasha) / चश्मा | तमाशा (tamaasha) / ऐनक (ainak)
spectacular (स्पेक्टेकुलर): शानदार (shaandaar) | आलीशान (aalishaan) / लाज़वाब (laazawaab)
spectator (स्पेक्टेटर): दर्शक (darshak) | तमाशाई (tamashai) / नाज़िर (naazir)
spectrum (स्पेक्ट्रम): वर्णक्रम (varnakram) | ताइफ़ (taif) / स्पेक्ट्रम (spectrum)
speculate (स्पेक्टकुलेट): कयास लगाना (kayaas lagaana) | सट्टा खेलना (satta khelna) / क़यास-आराई करना
speculation (स्पेक्युलेशन): कयास (kayaas) | क़यास-आराई (qayas-aarai) / सट्टा बाज़ी
spell (स्पेल): जादू (jaadoo) / वर्तनी | वर्तनी (vartani) / जादू (jaadoo)
sphere (स्फ़ियर): गोला (gola) / क्षेत्र | कुर्रा (kurra) / दायरा (dayara)
spill (स्पिल): छलकना (chhalakana) | छलकना (chhalakana)
spin (स्पिन): घूमना (ghoomna) | कताई करना (kataai karna) / चक्कर खाना
spine (स्पाइन): रीढ़ की हड्डी (reedh kee haddee) | रीढ़ की हड्डी (reedh kee haddee)
spite (स्पाइट): द्वेष (dvesh) | बुग़्ज़ (bugz) / अद्वात (adwaat)
spoil (स्पॉइल): बर्बाद करना (barbaad karna) | ख़राब करना (kharab hona) / बिगाड़ना
spokesman (स्पोक्समैन): प्रवक्ता (pravakta) | तर्जुमान (tarjumaan)
spokesperson (स्पोक्सपर्सन): प्रवक्ता (pravakta) | तर्जुमान (tarjumaan)
spokeswoman (स्पोक्सवुमन): महिला प्रवक्ता (mahila pravakta) | ख़ातून तर्जुमान (khatoon tarjumaan)
sponsorship (स्पॉन्सरशिप): प्रायोजन (praayojan) | सरपरस्ती (sarparasti) / कफ़ालत (kafalat)
sporting (स्पोर्टिंग): खेल संबंधी (khel sambandhee) | खेल-कूद का (khel-kood ka)
spotlight (स्पॉटलाइट): सुर्खियों में लाना (surkhiyon mein laana) | सुर्ख़ियों में लाना (surkhiyon mein laana)
spouse (स्पाउस): जीवनसाथी (jeevnasaathee) | शरीक-ए-हयात (shareek-e-hayaat)
spy (जासूस): जासूस (jaasoos) | जासूस (jaasoos) / मुख़बिर (mukhbir)
squad (स्क्वाड): दस्ता (dasta) | दस्ता (dasta)
squeeze (स्क्वीज़): निचोड़ना (nichodana) | दबाना (dabaana) / निचोड़ना (nichodna)
stab (स्टैब): चाकू मारना (chaakoo maarna) | खंजर घोंपना (khanjar ghonpna)
stability (स्टेबिलिटी): स्थिरता (sthirata) | इस्तेहकाम (istehkaam)
stabilize (स्टेबलाइज): स्थिर करना (sthir karna) | मुस्तहकम करना (mustahkam karna)
stake (स्टेक): हिस्सेदारी (hissedaaree) | दाँव (daanv) / हिस्सेदारी (hissedaari)
stall (स्टॉल): दुकान (dukaan) / टालना | खोखा (khokha) / टालना (taalna)
stance (स्टांस): रुख (rukh) | रुख़ (rukh) / मौक़िफ़ (mauqif)
standing (स्टैंडिंग): प्रतिष्ठा (pratishtha) | मर्तबा (martaba) / साख (saakh)
stark (स्टार्क): स्पष्ट (spasht) / कठोर | बिल्कुल साफ़ (bilkul saaf) / उजड़ा हुआ
starve (स्टार्व): भूखा मरना (bhookha marna) | फ़ाक़ा करना (faqa karna)
statistical (स्टैटिस्टिकल): सांख्यिकीय (saankhikeeya) | शुमारियाती (shumariyaati)
steadily (स्टेडिली): निरंतर (nirantar) | रफ़्ता-रफ़्ता (rafta-rafta) / मुस्तक़िल मिज़ाजी से
steam (स्टीम): भाप (bhaap) | भाप (bhaap)
steer (स्टीयर): संचालित करना (sanchaalit karna) | रास्ता दिखाना (raasta dikhaana) / चलाना
stem (स्टेम): तना (tana) / उत्पन्न होना | तना (tana) / निकलना (nikalna)
stereotype (स्टीरियोटाइप): रूढ़िवादिता (roodhivaadita) | दकियानूसी ख़याल (dakiyanoosi khayal)
stimulate (स्टिम्युलेट): उत्तेजित करना (uttejit karna) | उकसाना (uksaana) / तहरीक देना
stimulus (स्टिमुलस): प्रोत्साहन (protsaahan) | तहरीक (tahreek)
stir (स्टिर): हिलाना (hilaana) | हिलाना (hilaana) / हलचल (halchal)
storage (स्टोरेज): भंडारण (bhandaaran) | गोदाम (godaam) / जखीरा अंदोज़ी
straightforward (स्ट्रेटफॉरवर्ड): सीधा (seedha) | साफ़-गो (saaf-go) / सीधा-साधा (seedha-saadha)
strain (स्ट्रेन): तनाव (tanaav) | खिंचाव (khinchav) / तनाव (tanaav)
strand (स्ट्रैंड): किनारा (kinaara) / धागा | लट (lat) / रेशा (resha)
strategic (स्ट्रेटेजिक): रणनीतिक (rananeetik) | हिकमत-ए-अमली का (hikmat-e-amli ka)
strengthen (स्ट्रेंथन): मजबूत करना (majboot karna) | मज़बूत करना (mazboot karna)
strictly (स्ट्रिक्टली): कड़ाई से (kadaace se) | सख़्ती से (sakhtee se)
striking (स्ट्राइकिंग): आकर्षक (aakarshak) | नुमायाँ (numayan) / दिलकश (dilkash)
strip (स्ट्रिप): पट्टी (pattee) / कपड़े उतारना | पट्टी (pattee) / नंगा करना (nanga karna)
strive (स्ट्राइव): प्रयास करना (prayaas karna) | जद्दोजहद करना (jaddojahad karna)
stroke (स्ट्रोक): प्रहार (prahaar) / दौरा | चोट (chot) / दौरा (daura)
