--- Vocabulary Part 4 ---

J:

jail (जेल): कारागार (kaaragaar) | क़ैदख़ाना (qaidkhana)
lyric (लिरिक): गीत (geet) | नग़्मा (naghma)

M:

machinery (मशीनरी): मशीनरी (machinery) | आलात (aalaat)
magical (मैजिकल): जादुई (jaadui) | तिलिस्मी (tilismi)
magistrate (मजिस्ट्रेट): दंडाधिकारी (dandadhikaari) | मजिस्ट्रेट (magistrate)
magnetic (मैग्नेटिक): चुंबकीय (chumbakeeya) | मक़नातीसी (maqnateesi)
magnificent (मैग्नीफिसेंट): शानदार (shaandaar) | आलीशान (aalishaan)
magnitude (मैग्नीट्यूड): परिमाण (parimaan) | अज़मत (azmat) / मिक़दार (miqdaar)
mainland (मेनलैंड): मुख्य भूमि (mukhya bhoomi) | बर्रे-आज़म (barre-azam)
mainstream (मेनस्ट्रीम): मुख्यधारा (mukhyadhaara) | मरकज़ी धड़ा (markazi dhada)
maintenance (मेंटेनेंस): रखरखाव (rakh-rakhaav) | देखभाल (dekhbhaal)
major (मेजर): प्रमुख (pramukh) | बड़ा (bada) / अहम (aham)
make-up (मेक-अप): श्रृंगार (shringaar) | बनाव-सिंगार (banaav-singaar)
making (मेकिंग): निर्माण (nirmaan) | साख़्त (saakht)
mandate (मैंडेट): जनादेश (janaadesh) | जनादेश (janaadesh)
mandatory (मैंडेटरी): अनिवार्य (anivaarya) | लाज़मी (laazmi)
manifest (मैनिफेस्ट): प्रकट करना (prakat karna) | वाज़ेह करना (wazeh karna)
manipulate (मैनिपुलेट): हेर-फेर करना (her-pher karna) | हेर-फेर करना (her-pher karna)
manipulation (मैनिपुलेशन): हेर-फेर (her-pher) | हेर-फेर (her-pher)
manufacture (मैन्युफैक्चर): निर्माण करना (nirmaan karna) | तय्यार करना (tayyaar karna)
manufacturing (मैन्युफैक्चरिंग): विनिर्माण (vinirmaan) | सअन्त-कारी (sa'nat-kaari)
manuscript (मैन्युस्क्रिप्ट): हस्तलिपि (hastalipi) | क़लमी नुस्ख़ा (qalmi nuskha)
marathon (मैराथन): मैराथन दौड़ (marathon daud) | लंबी दौड़ (lambi daud)
march (मार्च): मार्च करना (march karna) | कूच करना (kooch karna)
margin (मार्जिन): अंतर (antar) / हाशिया (haashiya) | हाशिया (haashiya)
marginal (मार्जिनल): मामूली (maamoolee) | मामूली (maamoolee)
marine (मरीन): समुद्री (samudree) | बहरी (bahri)
marker (मार्कर): चिह्नक (chihnak) | निशान लगाने वाला (nishaan lagaane wala)
marketplace (मार्केटप्लेस): बाज़ार (baazaar) | मंडी (mandi)
martial (मार्शल): सामरिक (saamarik) | जंग-जू (jang-joo)
mask (मास्क): मुखौटा (mukhauta) | नक़ाब (naqaab)
massacre (मैसाकर): नरसंहार (narasanhaar) | क़त्ल-ए-आम (qatl-e-aam)
mate (मेट): साथी (saathee) | साथी (saathee) / रफ़ीक़ (rafeeq)
mathematical (मैथमेटिकल): गणितीय (ganiteeya) | रियाज़ियाती (riyaziyaati)
mature (मैच्योर): परिपक्व (paripakva) | बालिग़ (baaligh)
maximize (मैक्सीमाइज): अधिकतम करना (adhikatam karna) | ज़्यादा से ज़्यादा करना (zyaada se zyaada karna)
mayor (मेयर): महापौर (mahaapaur) | नाज़िम-ए-शहर (naazim-e-shehar)
meaningful (मीनिंगफुल): सार्थक (saarthak) | बा-मायनी (ba-maayni)
meantime (मीनटाइम): इस बीच (is beech) | इस दौरान (is dauran)
mechanic (मैकेनिक): मिस्त्री (mistree) | मिस्त्री (mistree)
mechanical (मैकेनिकल): यांत्रिक (yaantrik) | मिकानिकी (mikaaniki)
mechanism (मैकेनिज्म): तंत्र (tantra) | हिकमत-ए-अमली (hikmat-e-amli)
medal (मेडल): पदक (padak) | तग़मा (taghma)
medication (मेडिकेशन): दवा (dava) | दवा (dava)
medieval (मिडीवल): मध्यकालीन (madhyakaaleen) | अहद-ए-वुस्ता (ahd-e-wusta)
meditation (मेडिटेशन): ध्यान (dhyaan) | मुराक़बा (muraqba)
melody (मेलोडी): मधुर धुन (madhur dhun) | सुरीली तान (sureeli taan)
membership (मेम्बरशिप): सदस्यता (sadasyata) | रुकनियत (rukniyat)
memo (मेमो): ज्ञापन (gyaapan) | याददाश्त (yaaddasht)
memoir (मेमॉयर): संस्मरण (sansmaran) | आप-बीती (aap-beeti)
memorable (मेमरेबल): यादगार (yaadagaar) | यादगार (yaadagaar)
memorial (मेमोरियल): स्मारक (smaarak) | यादगार (yaadagaar)
mentor (मेंटर): परामर्शदाता (paraamarshadaata) | उस्ताद (ustaad) / रहनुमा (rahnuma)
merchant (मर्चेंट): व्यापारी (vyaapaari) | ताज़िर (taazir)
mercy (मर्सी): दया (daya) | रहम (raham)
mere (मीयर): मात्र (maatr) | सिर्फ़ (sirf)
merely (मीयरली): केवल (keval) | महज़ (mahaz)
merge (मर्ज): विलय होना (vilay hona) | जज़्ब होना (jazb hona)
merger (मर्जर): विलय (vilay) | इद्गाम (idgaam)
merit (मेरिट): योग्यता (yogyata) | क़ाबलियत (qabiliyat)
metaphor (मेटाफर): रूपक (roopak) | इस्तियारा (istiyara)
methodology (मेथडोलॉजी): कार्यप्रणाली (kaaryapranaalee) | तरीक़ा-ए-कार (tareeqa-e-kaar)
midst (मिडस्ट): मध्य (madhya) | दरमियान (darmiyan)
migration (माइग्रेशन): प्रवासन (pravaasan) | हिजरत (hijrat)
militant (मिलिटेंट): उग्रवादी (ugravaadi) | शिद्दतपसंद (shiddatpasand)
militia (मिलिशिया): नागरिक सेना (naagarik sena) | रज़ाकार सेना (razaakaar sena)
mill (मिल): चक्की (chakkee) | चक्की (chakkee) / मिल (mill)
miner (माइनर): खनिक (khanik) | कान-कुन (kaan-kun)
minimal (मिनिमल): न्यूनतम (nyoonatam) | कम से कम (kam se kam)
minimize (मिनिमाइज): कम करना (kam karna) | कम से कम करना (kam se kam karna)
mining (माइनिंग): खनन (khanan) | कान-कनी (kaan-kani)
ministry (मिनिस्ट्री): मंत्रालय (m मंत्रालय) | विज़ारत (vizaarat)
minute (मिनट): मिनट (minute) | मिनट (minute)
miracle (मिरेकल): चमत्कार (chamatkaar) | मोजिज़ा (mojiza)
miserable (मिज़रेबल): दयनीय (dayaneeya) | ख़स्ता-हाल (khasta-haal)
misery (मिज़री): कष्ट (kasht) | मुफ़लिसी (muflisi) / मुसीबत (museebat)
misleading (मिसलीडिंग): भ्रामक (bhraamak) | गुमराहकुन (gumrahkun)
missile (मिसाइल): प्रक्षेपास्त्र (prakshepaastr) | मिसाइल (missile)
mob (मोब): भीड़ (bheed) | हजूम (hajoom)
mobility (मोबिलिटी): गतिशीलता (gatisheelata) | हरकत (harkat)
mobilize (मोबिलाइज): संगठित करना (sangathit karna) | मुतहर्रिक करना (mutaharrik karna)
mode (मोड): तरीका (tareeka) | तरीक़ा (tareeqa) / अंदाज़ (andaz)
moderate (मॉडरेट): मध्यम (madhyam) | मोअतदिल (moatadil)
modest (मॉडेस्ट): मामूली (maamooli) / विनीत (vineet) | आजिज़ (aaziz) / मामूली (maamooli)
modification (मॉडिफिकेशन): संशोधन (sanshodhan) | तरमीम (tarmeem)
momentum (मोमेंटम): संवेग (sanveg) / गति (gati) | रफ़्तार (raftaar)
monk (मंक): भिक्षु (bhikshu) | राहिब (raahib)
monopoly (मोनोपोली): एकाधिकार (ekaadhikaar) | इजारादारी (ijaradaari)
monster (मॉन्स्टर): राक्षस (raakshas) | देव (deo) / बला (balaa)
monthly (मंथली): मासिक (maasik) | माहवार (maahwaar)
monument (मोन्यूमेंट): स्मारक (smaarak) | यादगार (yaadagaar)
morality (मोरालिटी): नैतिकता (naitikata) | अख़लाक़ियात (akhlaaqiyaat)
moreover (मोरओवर): इसके अलावा (iske alaava) | अज़ीन-तस्वीर (azeen-tasveer) / मज़ीद बराँ (mazeed baran)
mortgage (मॉर्टगेज): गिरवी (girvee) | रेहन (rehan)
mosque (मॉस्क): मस्जिद (masjid) | मस्जिद (masjid)
motion (मोशन): गति (gati) | हरकत (harkat)
motivate (मोटिवेट): प्रेरित करना (prerit karna) | राग़िब करना (raagib karna)
motivation (मोटिवेशन): प्रेरणा (prerna) | तरग़ीब (targeeb)
motive (मोटिव): उद्देश्य (uddeshya) | मक़सद (maqsad)
motorist (मोटरिस्ट): मोटर चालक (motor chaalak) | मोटर चलाने वाला (motor chalaane wala)
moving (मूविंग): गतिशील (gatisheel) | मुतहर्रिक (mutaharrik)
municipal (नगर पालिका): नगर पालिका (nagar paalika) | बलदियाती (baladiyaati)
mutual (म्यूचुअल): आपसी (aapasee) | बाहमी (baahami)
myth (मिथ): पौराणिक कथा (pauraanik katha) | फ़र्ज़ी कहानी (farzi kahani)

--- End of Part ---
